"Type","Name","Str","Dex","Int","Hits","Stam","Mana","Physical Resist","Fire Resist","Cold Resist","Poison Resist","Energy Resist","Physical Damage","Fire Damage","Cold Damage","Poison Damage","Energy Damage","Taming Difficulty","Barding Difficulty","TMap Level","Wrestling Skill"
"Mephitis","Mephitis","840","237","471","12000","572","471","76","68","65","100","65","50","0","0","50","0","0","160","-1","98.4"
"MonstrousInterredGrizzle","a monstrous interred grizzle","1200","134","618","50000","134","618","49","82","61","38","71","60","20","0","0","20","0","160","5","113.7"
"Neira","Neira","340","108","695","4800","355","695","28","41","57","38","29","100","0","0","0","0","0","160","-1","98.4"
"PrimevalLich","Primeval Lich","500","100","1000","30000","100","6000","30","30","30","30","20","20","20","20","20","20","0","160","-1","104.7"
"Rikktor","Rikktor","815","304","72","15000","830","72","83","90","34","88","86","25","50","0","0","25","0","160","-1","119.9"
"Semidar","Semidar","578","198","660","10000","437","660","76","65","61","72","72","75","25","0","0","0","0","160","-1","91.2"
"Serado","Serado","1000","150","300","9000","150","600","30","60","60","90","50","70","0","0","20","10","0","160","5","70"
"ServantOfSemidar","a servant of Semidar","1","1","1","1","1","1","0","0","0","0","0","100","0","0","0","0","0","3.16","-1","0"
"ShimmeringEffusion","a shimmering effusion","542","368","1566","20000","368","1566","78","74","79","65","80","20","20","20","20","20","0","160","5","100.1"
"Silvani","Silvani","275","162","669","600","162","669","54","34","33","49","43","75","0","25","0","0","0","122.3","5","98.9"
"SlasherOfVeils","The Slasher of Veils","965","150","1160","54726","150","11160","67","70","80","75","80","20","20","20","20","20","0","160","-1","110.4"
"StygianDragon","Stygian Dragon","702","250","180","30000","681","360","90","85","67","85","82","25","50","0","0","25","0","160","-1","115.2"
"Travesty","Travesty","943","927","924","35000","927","924","61","54","54","56","69","100","0","0","0","0","0","160","-1","316.9"
"BaneDragon","Bane Dragon","542","116","137","1168","116","137","60","48","30","53","27","50","0","25","25","0","107.1","127.2","-1","90"
"PumpkinHead","a killer pumpkin","350","125","250","500","125","1250","55","50","50","65","80","100","0","0","0","0","0","137","-1","80"
"CoMWarHorse","a war horse","400","125","51","240","125","51","42","39","30","36","40","100","0","0","0","0","29.1","70.9","-1","31"
"MinaxWarHorse","a war horse","400","125","54","240","125","54","47","40","30","34","32","100","0","0","0","0","29.1","71","-1","36.3"
"SLWarHorse","a war horse","400","125","53","240","125","53","46","39","32","30","39","100","0","0","0","0","29.1","70.6","-1","35.7"
"TBWarHorse","a war horse","400","125","52","240","125","52","49","32","32","35","30","100","0","0","0","0","29.1","70.6","-1","37.3"
"Abscess","Abscess","850","121","130","8355","121","130","74","78","28","37","39","60","10","10","10","10","0","160","-1","134.6"
"AcidElementalRenowned","Acid Elemental","595","182","388","2717","182","388","46","46","37","13","35","25","0","0","50","25","0","160","-1","92.3"
"AncientLichRenowned","Ancient Lich","275","102","992","2480","102","992","62","29","53","50","30","20","0","40","0","40","0","160","-1","81.7"
"Chiikkaha","Chiikkaha the Toothed","462","175","263","880","175","263","40","14","20","10","100","100","0","0","0","0","0","114.3","2","62.8"
"Coil","Coil","235","268","140","1110","268","140","58","29","30","100","30","50","0","0","50","0","0","134.8","-1","129.1"
"DevourerRenowned","Devourer of Souls","850","147","232","2000","147","232","46","26","24","63","44","60","0","20","0","20","0","160","-1","87.3"
"Drelgor","Drelgor the Impaler","127","85","52","263","85","52","35","26","50","30","31","40","0","60","0","0","0","73.1","-1","60"
"FireDaemonRenowned","Fire Daemon","1136","214","312","2516","214","312","80","85","64","100","39","50","25","0","0","25","0","160","-1","85.9"
"FireElementalRenowned","Fire Elemental","495","235","344","1804","235","344","48","70","8","39","43","25","75","0","0","0","0","160","2","93.4"
"Flurry","Flurry","183","254","138","658","254","138","56","39","41","37","39","100","0","80","0","20","0","108.2","2","105.8"
"Gnaw","Gnaw","147","131","48","935","276","102","61","50","23","27","34","100","0","0","0","0","83.1","111.8","-1","103.6"
"GrayGoblinMageRenowned","Gray Goblin Mage","582","70","502","1779","70","502","33","47","48","47","24","100","0","0","0","0","0","160","-1","103.4"
"GreenGoblinAlchemistRenowned","Green Goblin Alchemist","634","59","225","2058","59","225","50","55","41","49","23","100","0","0","0","0","0","158.1","-1","108.3"
"Grim","Grim","527","287","371","2642","287","371","55","65","56","38","40","80","20","0","0","0","84.3","160","2","112.5"
"GrimmochDrummel","Grimmoch Drummel","116","153","41","302","153","41","46","38","53","41","29","100","0","0","0","0","0","82.7","-1","0"
"Grobu","Grobu","193","140","51","1472","273","60","43","23","34","25","23","100","0","0","0","0","35.1","132.5","-1","97.7"
"Guile","Guile","155","257","395","1186","563","860","83","45","43","43","49","100","0","0","0","0","0","160","-1","15.3"
"Ilhenir","Ilhenir","1152","159","582","9000","159","582","55","50","55","82","65","60","20","0","20","0","0","160","5","119.9"
"Irk","Irk","80","267","515","1112","565","1085","80","44","45","47","42","100","0","0","0","0","0","160","-1","122.5"
"LadyJennifyr","Lady Jennifyr","271","107","47","1537","107","47","63","46","80","42","57","40","0","60","0","0","0","136.9","-1","136.4"
"LadyLissith","Lady Lissith","115","150","59","389","272","121","44","37","40","79","40","100","0","0","0","0","0","98.5","-1","119.3"
"LadyMarai","Lady Marai","241","105","98","953","105","98","61","46","72","49","52","40","0","60","0","0","0","114","-1","133.7"
"LadySabrix","Lady Sabrix","118","135","56","404","273","131","49","36","34","73","37","100","0","0","0","0","0","100.9","-1","121"
"Lurg","Lurg","601","168","102","3666","334","197","52","47","59","57","55","100","0","0","0","0","0","160","4","128.7"
"LysanderGathenwale","Lysander Gathenwale","116","80","128","318","80","360","55","37","59","39","40","100","0","0","0","0","0","95","-1","87.7"
"Malefic","Malefic","257","160","385","861","339","748","70","42","43","100","42","20","0","0","80","0","96","145.5","3","108.4"
"MasterJonath","Master Jonath","126","99","242","960","99","242","57","48","69","45","55","100","0","0","0","0","0","125.8","5","86.4"
"MasterMikael","Master Mikael","97","95","269","979","95","269","55","44","75","44","57","100","0","0","0","0","0","125.4","-1","84"
"MasterTheophilus","Master Theophilus","178","270","414","980","270","414","59","51","59","58","52","100","0","0","0","0","0","143.6","2","81.9"
"Meraktus","Meraktus","1436","410","130","5615","410","130","88","67","57","59","50","100","0","0","0","0","0","160","3","100.4"
"Miasma","Miasma","616","335","92","1363","335","121","54","41","54","76","43","60","0","0","40","0","47.1","138.5","-1","71.7"
"Mistral","Mistral","185","234","132","677","234","132","62","39","37","37","53","40","0","40","0","20","0","109.3","2","101.4"
"MorgBergen","Morg Bergen","117","118","53","307","118","53","40","36","58","40","32","40","0","60","0","0","0","80.8","-1","0"
"MougGuur","Moug-Guur","571","88","69","983","88","69","63","18","44","22","25","100","0","0","0","0","0","105.5","1","94.8"
"NightTerror","Night Terror","431","41","676","50000","41","676","62","100","88","100","71","20","20","20","20","20","0","160","4","110"
"PixieRenowned","Pixie","168","464","2851","9313","972","3648","74","69","79","63","61","100","0","0","0","0","0","160","-1","109.9"
"Putrefier","Putrefier","1368","427","392","5338","427","392","74","65","56","100","44","50","0","0","50","0","0","160","5","127.2"
"Pyre","Pyre","608","437","797","2433","437","797","65","73","0","36","51","50","50","0","0","0","102","160","-1","122.1"
"RakktaviRenowned","Rakktavi","119","279","327","50000","558","654","28","14","40","18","17","100","0","0","0","0","0","160","-1","85.5"
"RedDeath","Red Death","320","243","243","1860","243","243","60","90","0","100","0","25","75","0","0","0","0","160","-1","137.7"
"Rend","Rend","1263","370","637","6826","370","637","78","81","49","35","49","100","0","0","0","0","101.1","160","5","145"
"Saliva","a saliva","200","188","122","613","188","122","47","38","45","43","39","100","0","0","0","0","0","97.3","-1","122.4"
"ShadowKnight","Krakus","250","100","101","5000","100","101","90","65","75","75","55","60","0","40","0","0","0","160","1","100"
"Silk","Silk","82","145","73","368","293","160","45","35","40","75","30","100","0","0","0","0","0","100.5","-1","117.3"
"SirPatrick","Sir Patrick","295","105","59","1008","105","59","60","43","75","43","54","40","0","60","0","0","0","114.2","-1","135.8"
"SkeletalDragonRenowned","Skeletal Dragon","1016","156","551","1604","156","551","80","57","55","73","50","75","25","0","0","0","0","160","-1","97.9"
"Spite","Spite","62","306","534","1090","591","957","90","41","40","42","45","100","0","0","0","0","0","160","-1","14.1"
"Swoop","Swoop","143","410","75","1591","410","18","85","68","79","56","53","100","0","0","0","0","17.1","142.2","-1","123.8"
"Szavetra","Szavetra","643","181","568","1028","181","568","87","77","40","58","53","75","0","0","0","25","0","136.6","5","81.7"
"Tangle","Tangle","914","70","51","3609","70","37","50","43","31","64","44","60","0","0","40","0","0","160","-1","86.4"
"TavaraSewel","Tavara Sewel","114","112","119","316","260","119","35","33","54","43","33","100","0","0","0","0","0","86.9","-1","0"
"Tempest","Tempest","122","179","116","602","179","116","46","39","33","36","58","100","0","20","0","80","0","103","2","116"
"Thrasher","Thrasher","312","169","60","711","169","60","55","28","0","25","0","100","0","0","0","0","0","98.1","-1","113.8"
"TikitaviRenowned","Tikitavi","351","169","261","50000","318","535","26","23","37","17","18","100","0","0","0","0","0","160","-1","66.5"
"Twaulo","Twaulo","1838","406","816","7500","406","816","72","45","56","53","58","100","0","0","0","0","0","160","5","96.6"
"VitaviRenowned","Vitavi","337","280","335","45445","280","335","54","35","60","27","35","100","0","0","0","0","0","160","-1","62.2"
"WyvernRenowned","Wyvern","1414","107","972","4113","229","1817","67","83","79","64","63","75","25","0","0","0","0","160","5","109"
"AbysmalHorror","an abyssmal horror","410","83","410","6000","83","410","35","100","52","63","77","50","0","0","50","0","0","160","1","84.8"
"AbyssalAbomination","an Abyssal Abomination","403","85","416","1063","85","416","34","100","51","64","80","50","0","0","50","0","0","146.9","-1","87.5"
"AcidElemental","an acid elemental","336","74","272","540","74","272","70","24","30","100","42","10","0","0","90","0","0","104.4","2","82.1"
"AcidSlug","an acid slug","285","81","22","638","81","22","14","0","15","64","11","100","0","0","0","0","0","86.6","-1","51.4"
"AgapiteElemental","an agapite elemental","240","139","92","379","139","92","39","50","49","38","14","100","0","0","0","0","0","81.5","1","84.3"
"AirElemental","an air elemental","132","179","104","220","179","104","35","23","12","16","32","20","0","40","0","40","0","81.4","1","78.8"
"Alligator","an alligator","98","10","18","152","69","18","30","8","0","8","0","100","0","0","0","0","47.1","52.02","-1","45.4"
"AncientLich","Maliel","275","96","1006","854","96","1006","63","29","55","59","28","20","0","40","0","40","0","150.8","5","95.5"
"AncientWyrm","an ancient wyrm","1176","136","757","1875","136","757","75","90","73","62","69","75","25","0","0","0","0","160","5","99.9"
"AntLion","an ant lion","315","95","48","467","95","48","50","30","39","46","30","70","0","0","30","0","0","85.3","-1","90"
"ArcaneDaemon","an arcane daemon","134","137","305","236","137","305","51","76","11","60","35","80","20","0","0","0","0","92.1","-1","70.6"
"ArchDaemon","an Arch Deamon","1023","205","197","1685","205","197","66","76","53","100","44","50","25","0","0","25","0","158.3","4","91.6"
"ArcticOgreLord","an arctic ogre lord","861","72","62","1393","72","62","45","0","61","100","40","30","0","70","0","0","0","128.4","3","92.8"
"BakeKitsune","a bake kitsune","179","126","392","494","126","392","47","70","43","47","42","70","0","0","0","30","80.7","102.3","-1","53.2"
"Balron","the Lord of the Abyss","1180","191","208","1839","191","208","67","67","51","100","50","50","25","0","0","25","0","160","5","100"
"BattleChickenLizard","a battle chicken lizard","104","112","13","250","112","13","18","15","0","0","0","100","0","0","0","0","0","71.4","-1","51.9"
"Beetle","a giant beetle","300","100","500","200","100","500","40","27","20","24","29","100","0","0","0","0","29.1","85.4","-1","100"
"Betrayer","a betrayer","462","82","182","714","82","182","61","63","60","36","27","100","0","0","0","0","0","114.4","5","93.7"
"Bird","a warbler","10","32","10","10","32","10","0","0","0","0","0","100","0","0","0","0","-6.9","9","-1","5.2"
"TropicalBird","a tropical bird","10","25","10","10","25","10","0","0","0","0","0","100","0","0","0","0","-6.9","14","-1","6.2"
"BlackBear","a black bear","79","70","12","138","70","12","24","0","10","8","0","100","0","0","0","0","35.1","45.88","-1","59.7"
"BlackSolenInfiltratorQueen","a black solen infiltrator","326","158","106","477","158","106","30","35","25","37","30","70","0","0","30","0","0","88","-1","90"
"BlackSolenInfiltratorWarrior","a black solen infiltrator","226","125","80","326","125","80","29","35","10","27","21","80","0","0","20","0","0","77.8","-1","80"
"BlackSolenQueen","a black solen queen","297","138","100","456","138","100","35","33","32","36","26","70","0","0","30","0","0","84.7","-1","90"
"BlackSolenWarrior","a black solen warrior","215","116","46","312","116","46","30","30","11","21","18","80","0","0","20","0","0","76.6","-1","80"
"BlackSolenWorker","a black solen worker","110","101","60","172","101","60","25","29","14","16","25","100","0","0","0","0","0","69.82","-1","60"
"BloodElemental","a blood elemental","531","73","285","867","73","285","63","20","48","53","34","0","0","0","50","50","0","116.8","5","93.3"
"BloodFox","Blood Fox","305","198","174","495","198","174","56","25","59","28","35","100","0","0","0","0","72","89.6","-1","87.7"
"BloodWorm","a bloodworm","401","80","19","802","80","19","53","49","30","74","27","60","0","0","40","0","0","96.7","-1","100"
"Boar","a boar","25","15","5","15","15","5","12","9","0","7","0","100","0","0","0","0","29.1","15","-1","9"
"Bogle","a bogle","80","78","46","128","78","46","0","0","0","0","0","100","0","0","0","0","0","74.9","-1","48.6"
"Bogling","a bogling","109","112","38","174","112","38","22","11","18","22","17","100","0","0","0","0","0","70.5","-1","72.5"
"BogThing","a bog thing","816","48","47","1346","48","47","40","25","15","47","22","60","0","0","40","0","0","122.2","-1","77.7"
"BoneDemon","a bone demon","1000","167","210","3600","167","210","75","60","90","100","60","50","0","50","0","0","0","160","1","100"
"BoneKnight","a bone knight","229","89","53","373","89","53","39","29","50","30","34","40","0","60","0","0","0","78.4","-1","89.3"
"BoneMagi","a bone mage","87","71","191","145","71","191","35","22","52","24","38","100","0","0","0","0","0","81.1","-1","52.1"
"Brigand","Allele","95","91","64","95","91","64","0","3","5","8","8","100","0","0","0","0","0","70.8","-1","19.8"
"BronzeElemental","a bronze elemental","247","137","90","385","137","90","33","31","20","75","22","30","70","0","0","0","0","81.2","1","96.4"
"BrownBear","a brown bear","90","43","41","146","43","41","30","0","16","11","0","100","0","0","0","0","41.1","50.86","-1","47.4"
"BulbousPutrification","a bulbous putrification","763","56","59","1994","56","59","58","50","45","59","57","60","0","0","40","0","0","160","-1","110.4"
"Bull","a bull","95","58","71","154","58","71","30","0","14","0","0","100","0","0","0","0","71.1","60.64","-1","44.5"
"BullFrog","a bull frog","69","6","17","111","6","17","6","0","0","0","0","100","0","0","0","0","23.1","36.36","-1","44.5"
"CapturedHordeMinion","a horde minion","32","48","11","50","48","11","16","5","0","0","0","100","0","0","0","0","0","21.4","-1","37.6"
"Cat","a cat","9","35","5","6","35","5","10","0","0","0","0","100","0","0","0","0","-0.9","15.86","-1","5"
"Centaur","Loxias","259","126","98","414","126","98","49","45","26","53","42","100","0","0","0","0","0","88.6","-1","99.5"
"Changeling","a changeling","53","261","368","254","520","691","84","48","47","44","43","100","0","0","0","0","0","112.6","-1","12.5"
"ChaosDaemon","a chaos daemon","124","197","75","220","197","75","60","64","42","30","21","85","15","0","0","0","0","76.9","-1","98.9"
"ChaosDragoon","a chaos dragoon","196","92","78","390","92","78","21","0","35","70","20","25","25","25","0","25","0","93.1","-1","0"
"ChaosDragoonElite","a chaos dragoon elite","281","82","134","595","82","134","1","20","85","20","20","100","0","0","0","0","0","108.4","-1","0"
"Chicken","a chicken","5","15","5","3","15","5","5","0","0","0","0","100","0","0","0","0","-0.9","11.68","-1","5"
"ChickenLizard","a chicken lizard","79","93","9","162","171","19","15","6","0","0","0","100","0","0","0","0","0","55.52","-1","32.3"
"ClanCA","Clan Chitter Assistant","170","107","128","314","107","128","31","28","40","17","13","100","0","0","0","0","0","81.1","-1","70.6"
"ClanCT","Clan Scratch Tinkerer","306","228","251","2357","228","251","20","25","35","13","14","100","0","0","0","0","0","160","-1","77.1"
"ClanRC","Clan Ribbon Courtier","231","252","125","2305","252","125","40","11","20","12","11","100","0","0","0","0","0","160","-1","52.6"
"ClanRibbonPlagueRat","Clan Ribbon Plague Rat","59","51","17","92","102","17","31","20","30","9","33","100","0","0","0","0","-0.9","38.42","-1","40"
"ClanRS","Clan Ribbon Supplicant","173","117","207","127","117","207","60","33","80","46","27","100","0","0","0","0","0","71.2","-1","60"
"ClanSH","Clan Scratch Henchrat","227","183","93","2065","183","93","26","29","34","17","13","100","0","0","0","0","0","156.8","-1","64.6"
"ClanSS","Clan Scratch Scrounger","97","100","48","135","100","48","28","24","52","10","20","100","0","0","0","0","0","65.7","2","74.5"
"ClanSSW","Clan Scratch Savage Wolf","170","244","57","65","244","57","30","0","44","26","23","20","0","80","0","0","0","68.2","-1","43.4"
"ClockworkScorpion","a clockwork scorpion","237","98","37","394","98","37","85","26","75","100","16","60","0","0","40","0","0","82.6","-1","56.7"
"CoconutCrab","Coconut Crab","400","125","54","240","125","54","44","38","40","32","30","100","0","0","0","0","30","71","-1","34.5"
"ColdDrake","a cold drake","646","145","160","1108","145","160","61","39","83","44","43","50","0","50","0","0","96","123.2","3","115.5"
"CopperElemental","a copper elemental","244","145","78","396","145","78","35","34","37","25","13","100","0","0","0","0","0","80.7","1","68.2"
"CoralSnake","a coral snake","321","272","34","479","272","63","6","10","0","100","8","50","0","0","50","0","59.1","98.2","-1","96.8"
"CorporealBrume","a corporeal brume","436","106","53","1624","106","53","100","45","43","60","33","100","0","0","0","0","0","138.3","-1","110.9"
"Corpser","a corpser","180","38","33","284","38","33","18","22","11","29","0","60","0","0","40","0","0","71.4","-1","45.2"
"CorrosiveSlime","a corrosive slime","24","16","19","40","16","19","6","0","0","16","0","100","0","0","0","0","23.1","36.7","-1","25.2"
"CorruptedSoul","a corrupted soul","107","108","214","172","108","214","70","34","74","0","51","100","0","0","0","0","0","74.7","-1","80.6"
"Cougar","a cougar","75","77","34","109","77","34","22","10","12","5","0","100","0","0","0","0","41.1","48.74","-1","47.7"
"Cow","a cow","30","15","5","18","15","5","13","0","0","0","0","100","0","0","0","0","11.1","8.68","-1","5.5"
"Crane","a crane","30","19","13","64","19","13","5","0","0","0","0","100","0","0","0","0","0","23.74","-1","10.3"
"CrimsonDrake","Crimson Drake","414","146","138","656","146","138","37","34","32","49","30","0","0","100","0","0","85","98.1","2","75.5"
"CrystalDaemon","a crystal daemon","158","145","803","359","145","803","25","17","76","38","65","0","0","40","0","60","0","111.8","-1","79.9"
"CrystalElemental","a crystal elemental","160","62","109","150","62","109","50","44","47","100","63","80","0","0","0","20","0","80.2","1","67.5"
"CrystalHydra","a crystal hydra","828","119","111","2280","119","111","74","26","81","37","91","5","5","80","5","5","0","160","5","114.2"
"CrystalLatticeSeeker","Crystal Lattice Seeker","809","235","356","1184","235","356","85","48","40","42","41","100","0","0","0","0","0","140.6","5","98.3"
"CrystalSeaSerpent","a crystal sea serpent","416","122","158","705","122","158","66","0","83","20","70","10","0","45","0","45","0","97.9","3","62"
"CrystalVortex","a crystal vortex","888","558","200","1276","558","200","61","2","73","50","70","0","0","50","0","50","0","139.1","-1","120"
"CrystalWisp","a crystal wisp","217","223","203","337","223","203","36","20","15","8","57","50","0","0","0","50","0","92.7","-1","80"
"Cursed","Raynor","98","90","67","195","90","67","20","8","28","8","8","100","0","0","0","0","0","73.9","-1","0"
"CuSidhe","a cu sidhe","1200","155","262","2467","155","262","63","29","82","33","75","0","0","50","0","50","101.1","160","5","95.5"
"Cyclops","a cyclopean warrior","347","96","31","555","96","31","49","31","25","38","30","100","0","0","0","0","0","85.9","3","84.7"
"Daemon","Aglasis","490","78","318","789","78","318","48","57","37","22","37","100","0","0","0","0","0","113.7","4","61.8"
"DarkGuardian","a dark guardian","144","101","233","310","101","233","48","29","60","26","32","10","0","40","0","50","0","91.8","2","0"
"DarknightCreeper","Blassarrabb","309","103","316","4000","103","316","60","60","100","90","75","85","0","0","15","0","0","160","1","90.6"
"DarkWisp","a wisp","219","201","216","347","201","216","40","29","12","9","58","50","0","0","0","50","0","93.1","-1","80"
"DeathwatchBeetle","a deathwatch beetle","156","45","40","295","45","60","40","27","30","73","24","100","0","0","0","0","41.1","73.1","-1","54"
"DeathwatchBeetleHatchling","a deathwatch beetle hatchling","48","44","23","107","44","43","39","26","18","21","32","100","0","0","0","0","0","48.02","-1","33.4"
"DeepSeaSerpent","a deep sea serpent","287","135","104","537","135","104","35","76","41","33","16","100","0","0","0","0","0","90.7","2","68.2"
"DemonKnight","Kra'an","500","100","1000","30000","100","6000","61","53","77","78","70","20","20","20","20","20","0","160","6","120"
"DesertOstard","a desert ostard","112","74","6","186","74","6","16","10","0","0","0","100","0","0","0","0","29.1","54.86","-1","37.1"
"Devourer","a devourer of souls","913","162","248","650","162","248","50","29","22","64","41","60","0","20","0","20","0","114","4","88"
"DireWolf","a dire wolf","111","100","54","177","100","54","21","18","7","10","12","100","0","0","0","0","83.1","70.2","-1","73.3"
"Dog","a dog","36","31","33","58","31","33","13","0","0","0","0","100","0","0","0","0","-21.3","25.38","-1","22.5"
"Dolphin","a dolphin","49","74","98","67","74","98","17","75","27","15","14","100","0","0","0","0","0","36.62","-1","22.7"
"Doppleganger","a doppleganger","94","57","85","204","57","85","52","15","45","54","30","100","0","0","0","0","0","72.2","-1","85.5"
"Dragon","a dragon","811","97","453","1291","97","453","59","70","32","33","42","100","0","0","0","0","93.9","139.5","4","92.2"
"DragonsFlameGrandMage","Black Order Grand Mage","342","214","502","800","214","502","45","54","66","61","69","10","20","20","0","50","0","121","-1","77"
"DragonsFlameMage","Black Order Mage","346","214","413","949","214","413","50","51","67","60","73","10","20","20","0","50","0","125.5","-1","75.3"
"DragonWolf","a dragon wolf","824","63","54","1638","63","54","54","34","40","40","41","100","0","0","0","0","102","141.2","-1","98.9"
"Drake","a drake","423","145","111","669","145","111","47","59","47","25","36","80","20","0","0","0","84.3","97.9","2","76.8"
"DreadSpider","a dread spider","201","135","291","320","135","291","40","27","24","100","28","20","0","0","80","0","96","98.9","3","73.2"
"DreadWarhorse","a dread warhorse","521","97","111","1136","97","111","66","24","29","51","42","40","0","0","20","40","108","119.2","-1","97.8"
"DreamWraith","a Dream Wraith","267","171","630","827","171","630","58","40","46","48","27","10","0","45","0","45","0","135.6","-1","90.1"
"DullCopperElemental","a dull copper elemental","251","127","83","399","127","83","32","34","18","21","26","100","0","0","0","0","0","82","1","72.6"
"Eagle","an eagle","34","40","10","58","40","10","24","13","25","7","5","100","0","0","0","0","17.1","22.48","-1","25.6"
"EarthElemental","an earth elemental","129","82","72","206","82","72","34","16","19","23","24","100","0","0","0","0","0","72","1","87.9"
"EffetePutridGargoyle","an Effete putrid gargoyle","220","91","45","331","91","45","34","32","9","15","0","60","0","40","0","0","0","75","-1","69.7"
"EffeteUndeadGargoyle","an Effete Undead Gargoyle","63","64","34","132","64","34","20","7","26","25","14","100","0","0","0","0","0","47.92","1","50"
"Efreet","an efreet","345","283","171","551","283","171","53","68","0","30","49","0","50","0","0","50","0","101.2","4","79.8"
"ElderGazer","an elder gazer","316","101","295","509","101","295","54","66","41","46","47","50","0","0","0","50","0","104.2","4","95.1"
